Main Narrative,Main Narrative Definition,Main Narrative Example,Detail Instructions Main Narrative,Sub Narrative,Sub Narrative Definition,Sub Narrative Example,Detail Instructions Sub Narrative
Criticism of climate policies,"Statements that question the effectiveness, economic impact, or motives behind climate policies.","[""It is all because of the decision to switch to electric.""]",,Climate policies are ineffective,Statements suggesting that climate policies fail to achieve their intended environmental goals.,"[""There is absolutely no point in bannign straws, it can even have the opposite effect.""]",
Criticism of climate policies,"Statements that question the effectiveness, economic impact, or motives behind climate policies.","[""It is all because of the decision to switch to electric.""]",,Climate policies have negative impact on the economy,Statements claiming that climate policies lead to negative,"[""Decision to tax gas emmissions is only going to make us pay more and cause a recession.""]",
Criticism of climate policies,"Statements that question the effectiveness, economic impact, or motives behind climate policies.","[""It is all because of the decision to switch to electric.""]",,Climate policies are only for profit,Statements that argue climate policies are driven by fi- nancial or corporate gain rather than genuine environmental con- cerns.,"[""Nobody really cares about the air to be clean. It is all a new ESG trick to sell more turbines.""]",
Criticism of institutions and authorities,"Statements that challenge the competence, integrity, or inten- tions of various institutions and authorities in relation to climate change.",,,Criticism of the EU,Statements that express disapproval or distrust of the EU’s role or approach to climate change or the EU in general.,"[""Climate goals are simply a fixation of the unelected Brus- sels bureaucracy. All the fuss about climate change and restrictions to our freedoms come from them.""]",
Criticism of institutions and authorities,"Statements that challenge the competence, integrity, or inten- tions of various institutions and authorities in relation to climate change.",,,Criticism of international entities,Statements that criticize the role and influence of inter- national entities on climate policy.,"[""The UN agency for climate is mandating changes in our daily emmissions profile but their studies are completely unfounded in reality.""]",
Criticism of institutions and authorities,"Statements that challenge the competence, integrity, or inten- tions of various institutions and authorities in relation to climate change.",,,Criticism of national governments,Statements that disapprove of the ways national govern- ments handle climate change.,"[""It is clear that the government ministry has no plan and is improvising imposing arbirtary rules.""]",
Criticism of institutions and authorities,"Statements that challenge the competence, integrity, or inten- tions of various institutions and authorities in relation to climate change.",,,Criticism of political organizations and figures,Statements that discredit political organizations and fig- ures in the context of climate change debate.,"[""Environment minister C. is clearly a climate fanatic and we shall not entrust him taking decisions that hugely impact our economy.""]",
Climate change is beneficial,Statements that present arguments that support that changes in climate can have positive effects as well.,,,CO2 is beneficial,Statements suggesting that increased CO2 levels have positive impacts on the environment.,"[""A new study counters traditional though and discovered that more CO2 is actually positive in the long-term.""]",
Climate change is beneficial,Statements that present arguments that support that changes in climate can have positive effects as well.,,,Temperature increase is beneficial,Statements claiming that rising global temperatures can have positive effects.,"[""A new study focused on the increased profits from a longer summer due to climate change.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Climate cycles are natural,Statements suggesting that climate change is a natural and cyclical occurrence.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Weather suggests the trend is global cooling,Statements using local or short-term weather patterns to argue against global warming.,"[""I practice, the opposite is happening, climate is cooling.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Temperature increase does not have significant impact,Statements claiming that the increase in temperature is not going to have any noticeable effect in nature.,"[""I practice, the changes in a few degrees have absolutely no impact on our lives.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,CO2 concentrations are too small to have an impact,Statements claiming that the concentrations of CO2 will have a negligible effect.,"[""Compared to oxygen produced by nature itself, the CO2 from humans are negligible.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Human activities do not impact climate change,Statements that support that climate change is not caused by human activity.,"[""Nature has its ways and we-humans- are simple not enough to produce any meaningful change.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Ice is not melting,Statements claiming that there is not melting of ice.,"[""If you look carefully at the satelitte images you can see that ice has not melted, just moved.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Sea levels are not rising,Statements denying that sea levels have risen (or will rise).,"[""Even with all the catastrophising, there are no data show- ing rising sea levels on average.""]",
Downplaying climate change,Statements that minimize the significance or impact of climate change.,"[""The climate is changing in regular intervals across cen- turies. It is nothing new.""]",,Humans and nature will adapt to the changes,Statements claiming that whatever the changes in climate humans or nature will manage to find solutions to adapt.,"[""It might create a few challenges here and there, but we will invest in some technology and will handle the effects easily.""]",
Questioning the measurements and science,"Statements that raise doubts about the scientific methods, data, and consensus on climate change",,,Methodologies/metrics used are unreliable/faulty,Statements claiming that the scientific methodologies and metrics used to measure climate change are flawed or unreliable.,"[""The way they measure the data is completely false and misleading. Scientist X debunked it easily by...""]",
Questioning the measurements and science,"Statements that raise doubts about the scientific methods, data, and consensus on climate change",,,Data shows no temperature increase,Statements asserting that available data does not support the claim of global temperature increase.,"[""Temperature measurements are using faulty equipment and are alarming the world with lied.""]",
Questioning the measurements and science,"Statements that raise doubts about the scientific methods, data, and consensus on climate change",,,Greenhouse effect/carbon dioxide do not drive climate change,Statements asserting that available data does not support the claim of global temperature increase.,"[""Studies have repeatedly shown that CO2 impact is not correlated with global warming and this is a misconception.""]",
Questioning the measurements and science,"Statements that raise doubts about the scientific methods, data, and consensus on climate change",,,Scientific community is unreliable,"Statements discrediting scientists, the scientific commu- nity and their actions.","[""It is a feature of the scientific establishment to overem- phasize speculations of climate collapse and silence critics.""]",
Criticism of climate movement,"Statements that challenge the motives, integrity, or impact of the climate movement.","[""It is a feature of the scientific establishment to overemphasize speculations of climate collapse and silence critics.""]",,Climate movement is alarmist,Statements suggesting that the climate movement exag- gerates the severity of climate change for dramatic effect.,"[""The problem with climate hysteria is that it has become so unopposed in activist circles that everybody believes we will be under the sea in a few years.""]",
Criticism of climate movement,"Statements that challenge the motives, integrity, or impact of the climate movement.","[""It is a feature of the scientific establishment to overemphasize speculations of climate collapse and silence critics.""]",,Climate movement is corrupt,"Statements alleging that the climate movement is influ- enced by ulterior motives, by corruption or by unethical practices.","[""The climate protests are not about climate but a gateway drug to communist and radical ideas.""]",
Criticism of climate movement,"Statements that challenge the motives, integrity, or impact of the climate movement.","[""It is a feature of the scientific establishment to overemphasize speculations of climate collapse and silence critics.""]",,Ad hominem attacks on key activists,"Statements attacking the reputation of key figures (such as scientists, activists, politicians or public figures).","[""Greta Thunberg has not worked half a day of her life, but is making claims why I need to change my diet to plant-based.""]",
Controversy about green technologies,Statements that express skepticism or criticism of environ- mentally friendly technologies.,,,Renewable energy is dangerous,Statements claiming that renewable energy sources pose significant risks or dangers.,"[""Solar panels and wind turbines are way worse that coal if you consider how poisonous their materials are.""]",
Controversy about green technologies,Statements that express skepticism or criticism of environ- mentally friendly technologies.,,,Renewable energy is unreliable,Statements asserting that renewable energy sources are not dependable for widespread adoption.,"[""What will you do if you are freezing in the winter when there isn’t sun for weeks? Rely on solar? I don’t think so.""]",
Controversy about green technologies,Statements that express skepticism or criticism of environ- mentally friendly technologies.,,,Renewable energy is costly,"Statements asserting that renewable energy sources are too expensive, inefficient and worth adopting for widespread use.","[""They are pushing us to spend our hard earned money to price-inflated electric cars and are increasing the price of gas through carbon taxes.""]",
Controversy about green technologies,Statements that express skepticism or criticism of environ- mentally friendly technologies.,,,Nuclear energy is not climate friendly,Statements asserting that nuclear sources are or should not be considered as good for the climate.,"[""And they are calling nuclear energy, the type that pro- duced the saddest almost world-ending disasters as [better than coal. This is hypocrisy.""]",
Hidden plots by secret schemes of powerful groups,Statements that propose secret plots or hidden agendas related to climate change initiated by powerful entities or groups.,,,Blaming global elites,Statements attributing climate change agendas to secre- tive and powerful global elites.,"[""Everything is a plan by the WEF elites, to force the green agenda on regular people that in turn will have to sacrifice their jobs and quality of life.""]",
Hidden plots by secret schemes of powerful groups,Statements that propose secret plots or hidden agendas related to climate change initiated by powerful entities or groups.,,,Climate agenda has hidden motives,"Claims that the push for climate action is driven by ul- terior motives, such as political power or population control.","[""Everything is a plan by the WEF elites, to force the green agenda on regular people that in turn will have to sacrifice their jobs and quality of life.""]",
Amplifying Climate Fears,Statements that emphasize and amplify fears about the conse- quences of climate change.,,,Earth will be uninhabitable soon,Statements predicting that the Earth will become unin- habitable in the near future due to climate change.,"[""With current emissions rate we will not be able to survive what is coming.""]",
Amplifying Climate Fears,Statements that emphasize and amplify fears about the conse- quences of climate change.,,,Amplifying existing fears of global warming,Statements that are using fears related to warming of the earths surface and atmosphere and speculating on side effects to spread panic.,"[""Be prepared, it is certain that unless we do something drastic about warming in tropical regions, viruses and bacteria from these regions will be uncontrolled.""]",
Amplifying Climate Fears,Statements that emphasize and amplify fears about the conse- quences of climate change.,,,Doomsday scenarios for humans,Statements presenting intense catastrophic scenarios as results of climate change.,"[""It is not overstretching to state that in the next decades, the principal death reason will be climate change, few will survive.""]",
Amplifying Climate Fears,Statements that emphasize and amplify fears about the conse- quences of climate change.,,,Whatever we do it is already too late,Statements that minimize the urgency of addressing cli- mate change by suggesting that any action taken at this point is futile or too late to make a meaningful impact.,"[""Environmentalist are trying to protect us for years but the current state of carbon in the atmosphere is already past most thresholds. We have to feel the consequences, no matter what we do.""]",
Green policies are geopolitical instruments,Statements claimin that that environmental policies and ini- tiatives are used as tools for geopolitical power and influence rather than genuine environmental concern.,,,Climate-related international relations are abusive/exploitative,Statements criticizing international relations related to climate change as exploitative or economically abusive.,"[""Nobody cares about the impact of carbon in the climate,
it is only a trick of some governments to impose rules on weaker nations to protect their profits.""]",
Green policies are geopolitical instruments,Statements claimin that that environmental policies and ini- tiatives are used as tools for geopolitical power and influence rather than genuine environmental concern.,,,Green activities are a form of neo-colonialism,"Statements suggesting that green initiatives are a way for developed countries to exert control and influence over developing nations, a modern form of colonial practices.","[""When Western countries invest in ’green’ initiatives in Africa, they are just washing their neo-colonialist interests.""]",
