Main Narrative,Main Narrative Definition,Main Narrative Example,Detail Instructions Main Narrative,Sub Narrative,Sub Narrative Definition,Sub Narrative Example,Detail Instructions Sub Narrative
Blaming the war on others rather than the invader,Statements attributing responsibility or fault to entities other than Russia in the context of Russia’s invasion of Ukraine.,"[""The economic crisis is due to Western sanctions."", ""Ukraine’s actions provoked this conflict.""]",Look for direct or implied statements that shift blame away from Russia. Consider who is being held responsible for negative events or situations.,Ukraine is the aggressor,Statements that shift the responsibility of the aggression to Ukraine instead of Russia and portray Ukraine as the attacker.,"[""Ukraine secretly provoked the war because it was harassing Donbass province citizens.""]",
Blaming the war on others rather than the invader,Statements attributing responsibility or fault to entities other than Russia in the context of Russia’s invasion of Ukraine.,"[""The economic crisis is due to Western sanctions."", ""Ukraine’s actions provoked this conflict.""]",Look for direct or implied statements that shift blame away from Russia. Consider who is being held responsible for negative events or situations.,The West are the aggressors,Statements that shift the responsibility of the aggression to Ukraine instead of Russia and portray Ukraine as the attacker.,"[""Ukraine secretly provoked the war because it was harassing Donbass province citizens.""]",Look for direct or implied state- ments that mention that this conflict was a direct consequence of actions taken by the West. Consider who is being held responsible for negative events or situations.
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Rewriting Ukraine’s history,Statements that aim to reestablish history of Ukrainian nation in a way that discredits its reputation.,"[""Ukraine is not a real nation, it was a fabrication to split Russia and ally with Hitler.""]",
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Discrediting Ukrainian nation and society,Statements that aggressively undermine the legitimacy and reputability of Ukrainian ethnicity and people,"[""The traitorous attitude is not a characteristic of the Ukrainian elite, but deeply embedded to the consiousness of the average Ukrainian.""]","Use this only is case that the subject of the attack is the people of Ukraine, or in case of generalizations."
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Discrediting Ukrainian military,"Statements that aim to undermine the capabilities, pro- fessionalism or effectiveness of the Ukrainian armed forces.","[""Ukraine’s military lacks basic training and equipment. They are launching hopeless attacks on the front while their corrupt officers claim false successes.""]",
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Discrediting Ukrainian government and officials and policies,"Statements that seek to delegitimize the Ukrainian gov- ernment, its leaders, and its policies, portraying them as corrupt or incompetent.","[""Ukraine’s leadership is constantly and hopelessly asking for more support and ammunition without any progress, making a fool of themselves and showing who they really are.""]",Use this only is case that the subject of the attack is the leaders of Ukraine or some of their specific policy decisions.
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Ukraine is a puppet of the West,"Claims that Ukraine is controlled or heavily influenced by Western powers, particularly the United States and European Union.","[""If you ask a Ukrainian official to explain why they did this, they wont know how to answer. He is not making the decision anyway, he is just implementing what NATO tells him to do, and what is in line with western interests.""]",
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Ukraine is a hub for criminal activities,"Allegations that Ukraine is a center for illegal activities such as human trafficking, drug smuggling, or organized crime","[""Ukraine’s urge to fund this failing war in combination with their high corruption has resulted in a safe heaven for all sort of crim- inals and weapons smugglers.""]",
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Ukraine is associated with nazism,"Accusations that Ukrainian society or government has ties to or sympathies with Nazi ideology, often referencing historical events or extremist groups.","[""... and of course this is not going to fly with current Ukrainian government. Their deep neo-nazi ideology would never allow that.""]","This can go with discrediting Ukrainian nation, but should be used with any mention or hint of sympathy or association with (neo-)Nazism, historical or not."
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or inten- tions of Ukraine or Ukrainians as a nation.","[""Ukraine’s government is corrupt and ineffective."", ""Ukrainian soldiers are committing atrocities."", ""Ukrainian identity does not exist""]","Look for direct or implied statements that
attack some aspect of the Ukrainian society",Situation in Ukraine is hopeless,Statements that portray Ukraine as having no viable perspectives or no potential positive future.,"[""Ukraine should just give up, it is all over debt and will be exploited by the West anyway.""]",
Russia is the Victim,Statements that portray Russia as being unfairly targeted or victimized.,"[""Russia is being unfairly sanctioned."", ""The West is ganging up on Russia without justification."", ""Russia is doing what every country would do (e.g. protect its inter- ests/honour etc.)""]",Look for narratives that depict Russia as suffering unjust consequences. Focus on language that evokes sympathy for Russia’s position.,The West is russophobic,Statements that claim that the negative reaction to Rus- sia’s actions are because of the negative perspective of western coun- tries instead of Russia’s own actions.,"[""Politicians in the West blame Russia for everything, instead of looking at their mistakes"", ""In Country X, they banned Tchaikovsky ballets and Chechov’s plays because they cannot stand Russia and its culture.""]",
Russia is the Victim,Statements that portray Russia as being unfairly targeted or victimized.,"[""Russia is being unfairly sanctioned."", ""The West is ganging up on Russia without justification."", ""Russia is doing what every country would do (e.g. protect its inter- ests/honour etc.)""]",Look for narratives that depict Russia as suffering unjust consequences. Focus on language that evokes sympathy for Russia’s position.,Russia actions in Ukraine are only self-defence,Statements that justify Russia’s action solely as legiti- mate self-defence and not a deliberate action.,"[""TherewasnootherwaythanwartodefendtheRussian-speaking people in Donbass.""]",
Russia is the Victim,Statements that portray Russia as being unfairly targeted or victimized.,"[""Russia is being unfairly sanctioned."", ""The West is ganging up on Russia without justification."", ""Russia is doing what every country would do (e.g. protect its inter- ests/honour etc.)""]",Look for narratives that depict Russia as suffering unjust consequences. Focus on language that evokes sympathy for Russia’s position.,UA is anti-RU extremists,Statements claiming that Ukraine is comprised of ex- tremist elements that are vehemently opposed to Russia.,,
Praise of Russia,"Statements that positively highlight Russia’s actions, policies, or character","[""Russia is leading the way in international diplomacy."", ""The Russian economy is resilient and strong."", ""Glorifying mentions of Russia’s weapon systems and military might.""]","Identify expressions of admiration, sup- port, or positive evaluation of Russia. Consider both explicit praise and subtle commendation.",Praise of Russian military might,"Statements that positively highlight Russia’s military in- stitutions, equipment and scale.","[""Russia has far more tanks and powerful artillery that US/EU would only dream of.""]",
